Author,Age Group,AgeGroup2,PCR N Tested,PCR N Positive,% PCR  Positive,Microscopy N Tested,Microscopy N Positive,% Microscopy  Positive,Sensitivity,,,,
Proietti1,Children,Children,119,81,68.06722689,119,68,57.14285714,0.839506173,,,,
Proietti1,c15+,Adults,122,52,42.62295082,124,25,20.16129032,0.473014888,,,,
Atelu,Children,Children,67,12,17.91044776,67,5,7.462686567,0.416666667,,,,
Atelu,c15+,Adults,142,17,11.97183099,142,5,3.521126761,0.294117647,,,,
Proietti2,Children,Children,362,233,64.36464088,375,179,47.73333333,0.741608011,,,,
Proietti2,c15+,Adults,128,48,37.5,134,15,11.19402985,0.298507463,,,,
Walldorf1,Children,Children,346,30,8.670520231,339,20,5.899705015,0.680432645,,,,
Walldorf1,c15+,Adults,362,27,7.458563536,353,6,1.699716714,0.227887945,,,,
Walldorf2,Children,Children,427,28,6.557377049,426,11,2.582159624,0.393779343,,,,
Walldorf2,c15+,Adults,419,15,3.579952267,417,4,0.959232614,0.267945643,,,,
Walldorf3,Children,Children,512,53,10.3515625,512,45,8.7890625,0.849056604,,,,
Walldorf3,c15+,Adults,433,33,7.621247113,434,19,4.377880184,0.574430945,,,,
Walldorf4,Children,Children,552,49,8.876811594,551,25,4.537205082,0.511130042,,,,
Walldorf4,c15+,Adults,445,36,8.08988764,445,13,2.921348315,0.361111111,,,,
Walldorf5,Children,Children,605,37,6.115702479,618,25,4.045307443,0.661462433,,,,
Walldorf5,c15+,Adults,436,17,3.899082569,444,6,1.351351351,0.346581876,,,,
Walldorf6,Children,Children,481,151,31.39293139,460,106,23.04347826,0.734033976,,,,
Walldorf6,c15+,Adults,406,79,19.45812808,395,35,8.860759494,0.455375741,,,,
Walldorf7,Children,Children,564,143,25.35460993,539,80,14.84230056,0.585388637,,,,
Walldorf7,c15+,Adults,464,68,14.65517241,461,22,4.772234273,0.325634809,,,,
Walldorf8,Children,Children,619,225,36.34894992,620,177,28.5483871,0.785397849,,,,
Walldorf8,c15+,Adults,486,112,23.04526749,486,63,12.96296296,0.5625,,,,
Walldorf9,Children,Children,601,128,21.29783694,601,99,16.47254576,0.7734375,,,,
Walldorf9,c15+,Adults,455,71,15.6043956,480,33,6.875,0.440580986,,,,
Walldorf10,Children,Children,590,228,38.6440678,589,176,29.8811545,0.773240402,,,,
Walldorf10,c15+,Adults,453,133,29.3598234,451,70,15.5210643,0.528649784,,,,
Walldorf11,Children,Children,647,164,25.34775889,647,114,17.61978362,0.695121951,,,,
Walldorf11,c15+,Adults,478,76,15.89958159,479,25,5.219206681,0.328260631,,,,
Walldorf12,Children,Children,378,74,19.57671958,366,58,15.84699454,0.809481613,,,,
Walldorf12,c15+,Adults,398,44,11.05527638,388,30,7.731958763,0.699390815,,,,
Walldorf13,Children,Children,495,72,14.54545455,490,37,7.551020408,0.519132653,,,,
Walldorf13,c15+,Adults,472,27,5.720338983,468,10,2.136752137,0.373535929,,,,
Walldorf14,Children,Children,562,112,19.92882562,574,85,14.80836237,0.743062469,,,,
Walldorf14,c15+,Adults,465,43,9.247311828,479,21,4.384133612,0.47409817,,,,
Walldorf15,Children,Children,538,61,11.33828996,538,31,5.762081784,0.508196721,,,,
Walldorf15,c15+,Adults,455,15,3.296703297,454,4,0.881057269,0.267254038,,,,
Walldorf16,Children,Children,516,85,16.47286822,516,51,9.88372093,0.6,,,,
Walldorf16,c15+,Adults,444,64,14.41441441,444,35,7.882882883,0.546875,,,,
Walldorf17,Children,Children,587,75,12.77683135,587,45,7.666098807,0.6,,,,
Walldorf17,c15+,Adults,443,29,6.546275395,443,12,2.708803612,0.413793103,,,,
John1,Children,Children,119,7,5.882352941,119,3,2.521008403,0.428571429,,,,
John1,c15+,Adults,154,9,5.844155844,154,4,2.597402597,0.444444444,,,,
John2,Children,Children,117,18,15.38461538,117,13,11.11111111,0.722222222,,,,
John2,c15+,Adults,111,15,13.51351351,111,5,4.504504505,0.333333333,,,,
Ofulla ,Children,Children,143,133,93.00699301,143,128,89.51048951,0.962406015,,,,
Ofulla ,c15+,Adults,158,118,74.6835443,158,92,58.2278481,0.779661017,,,,
Mayor,Children,Children,2360,769,32.58474576,2360,323,13.68644068,0.420026008,,,,
Mayor,c15+,Adults,178,76,42.69662921,249,34,13.65461847,0.319805538,,,,
Mueller ,Children,Children,663,305,46.00301659,663,180,27.14932127,0.590163934,,,,
Mueller ,c15+,Adults,937,559,59.65848453,937,202,21.55816435,0.361359571,,,,
Satoguina,Children,Children,1391,366,26.31200575,1391,161,11.5744069,0.43989071,,,,
Satoguina,c15+,Adults,1188,294,24.74747475,1188,74,6.228956229,0.25170068,,,,
Steenkeste,Children,Children,400,251,62.75,400,152,38,0.605577689,,,,
Steenkeste,c15+,Adults,694,343,49.42363112,694,102,14.69740634,0.297376093,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
