Author,Age Group,AgeGroup2,PCR N Tested,PCR N Positive,% PCR  Positive,Microscopy N Tested,Microscopy N Positive,% Microscopy  Positive,Sensitivity,,,,,,,
Proietti1,a0-5,Children,57,38,66.67,57,31,54.39,0.815789474,,,,,,,
Proietti1,b5-15,Children,62,43,69.35,62,37,59.68,0.860465116,,,,,,,
Proietti1,c15+,Adults,122,52,42.62,124,25,20.16,0.473014888,,,,,,,
Atelu,a0-5,Children,29,4,13.79,29,3,10.34,0.75,,,,,,,
Atelu,b5-15,Children,38,8,21.05,38,2,5.26,0.25,,,,,,,
Atelu,c15+,Adults,142,17,11.97,142,5,3.52,0.294117647,,,,,,,
Proietti2,a0-5,Children,240,130,54.17,249,105,42.17,0.77849861,,,,,,,
Proietti2,b5-15,Children,122,103,84.43,126,74,58.73,0.695638773,,,,,,,
Proietti2,c15+,Adults,128,48,37.50,134,15,11.19,0.298507463,,,,,,,
Walldorf1,a0-5,Children,161,7,4.35,157,5,3.18,0.732484076,,,,,,,
Walldorf1,b5-15,Children,185,23,12.43,182,15,8.24,0.662924032,,,,,,,
Walldorf1,c15+,Adults,362,27,7.46,353,6,1.70,0.227887945,,,,,,,
Walldorf2,a0-5,Children,177,6,3.39,176,3,1.70,0.502840909,,,,,,,
Walldorf2,b5-15,Children,250,22,8.80,250,8,3.20,0.363636364,,,,,,,
Walldorf2,c15+,Adults,419,15,3.58,417,4,0.96,0.267945643,,,,,,,
Walldorf3,a0-5,Children,184,11,5.98,184,9,4.89,0.818181818,,,,,,,
Walldorf3,b5-15,Children,328,42,12.80,328,36,10.98,0.857142857,,,,,,,
Walldorf3,c15+,Adults,433,33,7.62,434,19,4.38,0.574430945,,,,,,,
Walldorf4,a0-5,Children,170,8,4.71,170,1,0.59,0.125,,,,,,,
Walldorf4,b5-15,Children,382,41,10.73,381,24,6.30,0.586902247,,,,,,,
Walldorf4,c15+,Adults,445,36,8.09,445,13,2.92,0.361111111,,,,,,,
Walldorf5,a0-5,Children,192,10,5.21,196,12,6.12,1.175510204,,,,,,,
Walldorf5,b5-15,Children,413,27,6.54,422,13,3.08,0.471212919,,,,,,,
Walldorf5,c15+,Adults,436,17,3.90,444,6,1.35,0.346581876,,,,,,,
Walldorf6,a0-5,Children,183,37,20.22,177,27,15.25,0.754466331,,,,,,,
Walldorf6,b5-15,Children,298,114,38.26,283,79,27.92,0.729712975,,,,,,,
Walldorf6,c15+,Adults,406,79,19.46,395,35,8.86,0.455375741,,,,,,,
Walldorf7,a0-5,Children,192,26,13.54,190,20,10.53,0.777327935,,,,,,,
Walldorf7,b5-15,Children,372,117,31.45,349,60,17.19,0.546616707,,,,,,,
Walldorf7,c15+,Adults,464,68,14.66,461,22,4.77,0.325634809,,,,,,,
Walldorf8,a0-5,Children,219,47,21.46,219,36,16.44,0.765957447,,,,,,,
Walldorf8,b5-15,Children,400,178,44.50,401,141,35.16,0.790159433,,,,,,,
Walldorf8,c15+,Adults,486,112,23.05,486,63,12.96,0.5625,,,,,,,
Walldorf9,a0-5,Children,229,22,9.61,229,23,10.04,1.045454545,,,,,,,
Walldorf9,b5-15,Children,372,106,28.49,372,76,20.43,0.716981132,,,,,,,
Walldorf9,c15+,Adults,455,71,15.60,480,33,6.88,0.440580986,,,,,,,
Walldorf10,a0-5,Children,221,69,31.22,221,43,19.46,0.623188406,,,,,,,
