Name,Global_Region,Country,Full_Or_Age_Disagg_Data,Transmission_Setting_Current,Transmission_Setting_History,PCR_N_Tested,PCR_N_Positive,PCR_Prev,Microscopy_N_Tested,Microscopy_N_Positive,Micro_Prev,Old_or_New,Age_Group,Raw_Age_Group,,
Proietti,East Africa,Uganda,0,1,1,57,38,0.666667,57,31,0.543860,New,0-5,0-5,,
,East Africa,Uganda,0,1,1,62,43,0.693548,62,37,0.596774,New,5-15years,5-10years,,
,East Africa,Uganda,0,1,1,122,52,0.426230,124,25,0.201613,New,15+,15+,,
,East Africa,Uganda,2,1,1,241,133,0.551867,243,93,0.382716,New,All Ages,All Ages,,
Souza,South America,Brazil,2,NA,NA,74,1,0.013514,74,0,0.000000,New,All Ages,,,
Atkinson,Oceania,Solomon Islands,2,NA,NA,1843,1,0.000543,8554,1,0.000117,New,All Ages,,,
Pegha Moukandja,West Africa,Gabon,2,1,1,277,161,0.581227,370,93,0.251351,New,All Ages,Children&Adults,,
,West Africa,Gabon,2,1,1,195,109,0.558974,267,72,0.269663,New,All Ages,Children&Adults,,
,West Africa,Gabon,2,1,1,161,115,0.714286,218,57,0.261468,New,All Ages,Children&Adults,,
,West Africa,Gabon,2,1,1,219,87,0.397260,255,36,0.141176,New,All Ages,Children&Adults,,
,West Africa,Gabon,2,1,1,173,134,0.774566,232,59,0.254310,New,All Ages,Children&Adults,,
,West Africa,Gabon,2,1,1,114,67,0.587719,145,31,0.213793,New,All Ages,Children&Adults,,
Atelu,West Africa,Ghana,0,1,1,29,4,0.137931,29,3,0.103448,New,0-5,0-5,,
,West Africa,Ghana,0,1,1,38,8,0.210526,38,2,0.052632,New,5-15years,5-14years,,
,West Africa,Ghana,0,1,1,142,17,0.119718,142,5,0.035211,New,15+,15-24,,
,West Africa,Ghana,2,1,1,209,29,0.138756,209,10,0.047847,New,All Ages,All Ages,,
Rovira-Vallbona,South America,Peru,2,NA,NA,7265,235,0.032347,7265,5,0.000688,New,All Ages,Children&Adults,,
Kangoye,East Africa,Kenya,2,0,1,779,48,0.061617,779,16,0.020539,New,All Ages,Children&Adults,,
,East Africa,Kenya,2,0,1,797,26,0.032622,797,2,0.002509,New,All Ages,Children&Adults,,
Parr,East Africa,Malawi,2,1,1,792,79,0.099747,792,45,0.056818,New,All Ages,Children&Adults,,
Zhao,Asia,Myanmar,2,NA,NA,1005,1,0.000995,1005,0,0.000000,New,All Ages,Children&Adults,,
,Asia,Myanmar,2,NA,NA,1005,11,0.010945,1005,0,0.000000,New,All Ages,Children&Adults,,
Tadesse,East Africa,Ethiopia,2,0,0,551,43,0.078040,551,3,0.005445,New,All Ages,0-15,,
,East Africa,Ethiopia,2,0,0,294,38,0.129252,335,3,0.008955,New,All Ages,0-15,,
Chourasia,Asia,India,2,NA,NA,437,80,0.183066,437,47,0.107551,New,All Ages,Children&Adults,,
Manjurano ,East Africa,Tanzania,2,0,0,85,3,0.035294,250,4,0.016000,New,All Ages,Children&Adults,,
,East Africa,Tanzania,2,0,0,87,8,0.091954,251,4,0.015936,New,All Ages,Children&Adults,,
,East Africa,Tanzania,2,0,0,88,34,0.386364,250,4,0.016000,New,All Ages,Children&Adults,,
,East Africa,Tanzania,2,0,0,89,13,0.146067,250,16,0.064000,New,All Ages,Children&Adults,,
,East Africa,Tanzania,2,0,0,76,7,0.092105,250,7,0.028000,New,All Ages,Children&Adults,,
