Trans_Now,Trans_Hist,PCR_Tested,PCR_Positive,PCR_Prev,Micro_Tested,Micro_Positive,Micro_Prev,Density,Old_or_New
1,1,57,38,0.666666667,57,31,0.543859649,6063,New
1,1,62,43,0.693548387,62,37,0.596774194,753,New
1,1,122,52,0.426229508,124,25,0.201612903,215,New
,,74,1,0.013513514,74,0,0,,New
,,134,0,0,134,0,0,,New
,,62,0,0,62,0,0,,New
,,1843,1,0.000542594,8554,1,0.000116904,96,New
1,1,277,161,0.581227437,370,93,0.251351351,,New
1,1,195,109,0.558974359,267,72,0.269662921,,New
1,1,161,115,0.714285714,218,57,0.26146789,,New
1,1,219,87,0.397260274,255,36,0.141176471,,New
1,1,173,134,0.774566474,232,59,0.254310345,,New
1,1,114,67,0.587719298,145,31,0.213793103,,New
1,1,29,4,0.137931034,29,3,0.103448276,,New
1,1,38,8,0.210526316,38,2,0.052631579,,New
1,1,37,8,0.216216216,37,1,0.027027027,,New
1,1,34,3,0.088235294,34,1,0.029411765,,New
1,1,31,4,0.129032258,31,2,0.064516129,,New
1,1,40,2,0.05,40,1,0.025,,New
,,7265,235,0.032346869,7265,5,0.000688231,7,New
,,212,8,0.037735849,212,8,0.037735849,,New
,,207,10,0.048309179,207,2,0.009661836,,New
0,1,779,48,0.061617458,779,16,0.020539153,,New
0,1,797,26,0.032622334,797,2,0.00250941,,New
1,1,792,79,0.099747475,792,45,0.056818182,,New
,,1005,1,0.000995025,1005,0,0,,New
,,1005,11,0.010945274,1005,0,0,,New
0,0,551,43,0.078039927,551,3,0.005444646,,New
0,0,294,38,0.129251701,335,3,0.008955224,,New
,,160,85.39344262,0.533709016,488,44,0.090163934,,New
,,437,80,0.183066362,437,47,0.107551487,,New
,,1116,384,0.344086022,1116,134,0.120071685,,New
0,0,85,3,0.035294118,250,4,0.016,,New
0,0,87,8,0.091954023,251,4,0.015936255,,New
0,0,88,34,0.386363636,250,4,0.016,,New
0,0,89,13,0.146067416,250,16,0.064,,New
0,0,76,7,0.092105263,250,7,0.028,,New
0,0,87,6,0.068965517,250,7,0.028,,New
0,0,91,21,0.230769231,249,30,0.120481928,,New
0,0,87,44,0.505747126,249,61,0.24497992,,New
0,1,84,8,0.095238095,250,14,0.056,,New
0,1,88,49,0.556818182,249,45,0.180722892,,New
0,1,81,52,0.641975309,246,2,0.008130081,,New
0,1,83,61,0.734939759,243,74,0.304526749,,New
0,1,95,83,0.873684211,247,122,0.493927126,,New
,,2667,1,0.000374953,2667,0,0,,New
1,1,547,320,0.585009141,547,159,0.290676417,,New
1,1,90,32,0.355555556,90,18,0.2,,New
1,1,299,189,0.632107023,299,105,0.351170569,,New
1,1,111,72,0.648648649,111,29,0.261261261,,New
1,1,47,27,0.574468085,47,7,0.14893617,,New
,,2083,385,0.184829573,2083,117,0.056168987,808,New
,,2423,80,0.033016921,2423,0,0,7,New
,,153,36,0.235294118,153,17,0.111111111,294,New
,,1347,20,0.01484781,1347,0,0,,New
0,1,638,18,0.028213166,676,1,0.00147929,,New
0,1,871,16,0.01836969,871,2,0.002296211,,New
0,1,740,12,0.016216216,740,0,0,,New
0,1,688,3,0.004360465,688,1,0.001453488,,New
0,1,226,86,0.380530973,226,13,0.057522124,13483,New
0,1,226,60,0.265486726,226,13,0.057522124,,New
,,1552,42,0.027061856,1552,5,0.003221649,,New
,,1552,15,0.009664948,1552,5,0.003221649,,New
,,1552,43,0.027706186,1552,5,0.003221649,,New
